ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
3913,0,1334,6.800000190734863,15.899999618530273,52.040000915527344,9.699999809265137,-108.1249999999998,44.875
3914,0,1926,10.300000190734863,17.399999618530273,23.670000076293945,10.59000015258789,-106.95833333333314,35.708333333333336
3915,0,289,-2.5,11.300000190734863,8.15999984741211,12.760000228881836,-99.79166666666649,55.708333333333336
3916,0,853,-0.10000000149011612,9.600000381469727,49,9.489999771118164,-70.875,47.875
3917,0,301,6.199999809265137,12.100000381469727,3.3399999141693115,13.050000190734863,-93.62499999999986,44.54166666666667
3918,0,1085,4.5,12.100000381469727,139.66000366210938,8.359999656677246,-120.2083333333331,49.375
3919,0,175,7.599999904632568,9.300000190734863,3.180000066757202,13.970000267028809,-87.12499999999987,43.79166666666667
3920,0,361,1.899999976158142,11.5,2.25,13.65999984741211,-95.37499999999984,49.29166666666667
3921,0,1445,10.800000190734863,17,50.869998931884766,10.180000305175781,-110.04166666666646,39.04166666666667
3922,0,1604,4.099999904632568,16.200000762939453,88.06999969482422,8.630000114440918,-115.87499999999977,44.375
3923,0,48,4.699999809265137,8.5,42.40999984741211,9.899999618530273,-55.958333333333286,47.708333333333336
3924,0,263,-0.699999988079071,12.199999809265137,5.150000095367432,12.779999732971191,-86.54166666666653,50.625
3925,0,219,3.799999952316284,9.699999809265137,22.09000015258789,10.699999809265137,-70.45833333333324,46.958333333333336
3926,0,38,-0.5,12,0.5199999809265137,14.739999771118164,-80.12499999999989,50.958333333333336
3927,0,282,13.699999809265137,12.399999618530273,4.909999847412109,13.239999771118164,-95.29166666666652,37.54166666666667
3928,0,1290,-0.10000000149011612,10.100000381469727,75.08000183105469,8.4399995803833,-121.9583333333331,55.458333333333336
3929,0,38,3.799999952316284,8,11.920000076293945,10.369999885559082,-138.29166666666637,59.125
3930,0,765,-3.5,11.399999618530273,30.579999923706055,9.619999885559082,-125.37499999999976,60.458333333333336
3931,0,663,-2.9000000953674316,12,6.28000020980835,12.260000228881836,-121.29166666666643,59.041666666666664
3932,0,686,-3.5999999046325684,9.800000190734863,16.559999465942383,11.039999961853027,-72.625,51.875
3933,0,2010,9.800000190734863,15.899999618530273,35.0099983215332,10.390000343322754,-111.45833333333313,34.54166666666667
3934,0,148,10.800000190734863,10.199999809265137,52.470001220703125,9.729999542236328,-123.95833333333309,44.04166666666667
3935,0,285,6.5,12.399999618530273,15.649999618530273,11.109999656677246,-91.20833333333319,44.208333333333336
3936,0,1134,-6,12.899999618530273,21.25,10.300000190734863,-130.4583333333331,61.791666666666664
3937,0,1746,-8.399999618530273,10.399999618530273,126.87999725341797,7.909999847412109,-126.95833333333309,62.041666666666664
3938,0,461,-6.099999904632568,8.300000190734863,9.6899995803833,11.859999656677246,-71.45833333333324,55.958333333333336
3939,0,931,11.399999618530273,16,7.460000038146973,13.479999542236328,-101.04166666666649,38.958333333333336
3940,0,446,-3.799999952316284,10.399999618530273,5.980000019073486,12.109999656677246,-105.20833333333314,58.291666666666664
3941,0,525,3.0999999046325684,11.600000381469727,30.739999771118164,10.149999618530273,-71.45833333333324,45.208333333333336
3942,0,432,-5.5,8.5,6.320000171661377,12.079999923706055,-72.45833333333324,55.29166666666667
3943,0,1466,9.699999809265137,16.5,6.039999961853027,13.140000343322754,-104.54166666666649,40.208333333333336
3944,0,273,12.899999618530273,12.399999618530273,5.670000076293945,12.449999809265137,-84.87499999999987,37.708333333333336
3945,0,928,3.9000000953674316,12.100000381469727,15.180000305175781,12.140000343322754,-122.37499999999977,52.208333333333336
3946,0,711,2.5,10.300000190734863,81.839996337890625,8.1899995803833,-127.87499999999974,55.458333333333336
3947,0,1284,11,12.300000190734863,0,14.90999984741211,-112.3749999999998,40.958333333333336
3948,0,703,-4.300000190734863,11.199999809265137,5.329999923706055,12.380000114440918,-117.62499999999977,59.875
3949,0,267,-3.700000047683716,11.399999618530273,5.050000190734863,13.1899995803833,-118.37499999999977,61.041666666666664
3950,0,401,8.699999809265137,12.399999618530273,9.029999732971191,11.989999771118164,-80.04166666666656,41.125
3951,0,1318,4.699999809265137,14,134.66000366210938,8.09000015258789,-115.62499999999979,47.208333333333336
3952,0,1988,9.199999809265137,17.399999618530273,23.790000915527344,11.25,-104.37499999999982,36.708333333333336
3953,0,186,-2.0999999046325684,10.5,1.340000033378601,13.819999694824219,-86.87499999999987,52.958333333333336
3954,0,250,-0.8999999761581421,11.600000381469727,2.1500000953674316,13.979999542236328,-114.12499999999979,58.375
3955,0,1852,7.599999904632568,18.299999237060547,16.309999465942383,10.399999618530273,-115.04166666666646,39.04166666666667
3956,0,527,6,12.699999809265137,3.640000104904175,13.069999694824219,-97.37499999999983,44.958333333333336
3957,0,534,5.300000190734863,11.699999809265137,50,9.380000114440918,-74.125,43.375
3958,0,2906,2.9000000953674316,16.100000381469727,56.939998626708984,8.699999809265137,-106.8749999999998,36.125
